N,T_s,F_GPE,F_linear,F_lin-F_GPE,gs_resid
1000,0.50,0.882779,,,9.1e-06
1000,1.00,0.999669,,,9.7e-06
1000,1.50,0.999819,,,9.8e-06
1000,2.00,0.999866,,,9.8e-06
1000,2.50,0.999775,,,9.8e-06
1000,3.00,0.999705,,,9.8e-06
